Day Number,Calanoid.copepods,Rotifers,Protozoa,Bacteria,Nanophytoplankton,Picophytoplankton,Filamentous.diatoms,Ostracods,Cyclopoids,Harpacticoids,Total.dissolved.inorganic.nitrogen,Soluble.reactive.phosphorus
592.95,3.0279,0.011556,9.64E-05,0.51654,0.015503,0.00576,0,0,0,0.040415,3.2926,0.55622
596.3,0.44028,0.060372,0.0015191,5.57E-01,0.015507,0.032425,0,0,0,0.058638,3.8881,0.52154
599.65,0.091257,0.0055321,0.0038039,0.47,0.02643,0.071673,0,0,0.00040749,0.2592,5.2693,0.57171
603,0.075245,0.0042214,0.0025002,0.47,0.22389,0.05588,0,0,0.0078848,0.13943,7.9633,0.73236
606.35,0.034845,0.0020209,0,0.42216,0.23023,0.028434,4.25E-05,0,3.14E-05,0.0017488,10.671,0.90773
609.7,0.0091263,0.0091807,0,1.3191,0.034286,0.008537,0.0028489,0,0.0036654,0.091452,12.039,0.99924
613.05,0.0069881,0.0055261,0.053624,0.38401,0.063835,0.0038351,0.0066256,0.029326,0.14994,0.11998,10.506,0.76562
616.4,0.22524,0.0020041,0.0917,0.41124,1.8663,0.014736,1.0861,0.0017824,0.019012,0.074916,8.3094,0.43205
619.75,0.030203,0.005282,16.132,0.32967,1.9998,0.015295,9.0239,0,0.24199,0.2111,8.9613,0.56012
623.1,0.0178,0.0089877,10.573,0.35587,1.2662,0.015487,4.256,0,0.16248,0.56231,10.273,0.91916
626.45,0.088006,0.0044948,0.54826,0.27614,0.27521,0.0031478,3.6421,0,0.33325,0.38124,7.6106,1.3198
629.8,0.032827,0.0024473,0.0090757,0.38929,0.24443,0.0021022,5.6617,0,0.27857,0.45408,2.8147,1.6386
633.15,0.00084098,0,0,0.6268,0.17597,0.0035409,3.6966,0,2.8166,0.41688,4.6824,1.5783
636.5,0.00064758,0,0,0.72996,0.23314,0.0070573,2.4474,0,1.3696,0.22521,7.1751,1.4183
639.85,0.00041167,0,0,0.85532,0.21029,0.0055524,2.4003,0,0.40687,0.64888,5.9307,0.96539
643.2,0,0.0020627,0,0.56283,0.24085,0.0024224,6.4614,0,0.13895,0.99176,3.3122,0.30084
646.55,0.00017787,0.0033353,0,0.68655,0.67367,0.0089524,0.13443,0,0.048725,1.293,3.5349,0.28538
649.9,0.00069367,0.0022197,0,0.66673,0.99915,0.01002,0.071224,0,0.26158,1.4006,7.7633,0.944
653.25,0.0006044,0.0069459,0,0.54929,0.99765,0.005059,0.085022,0,0.15148,2.0608,8.8778,1.0985
656.6,0.00012371,0.0086154,0,0.62588,0.66803,0.012017,0.10781,0,0.17241,2.7104,6.7987,0.62859
659.95,0,0.0044332,0,0.72396,0.48982,0.0078385,0.31925,0,0.30522,1.6706,6.208,0.54559
663.3,0,0.00097638,0.958,0.72671,0.46992,0.0063425,3.4473,0,0.2499,0.32153,9.7502,1.9674
666.65,0,0,3.6737,0.51174,0.89428,0.0019474,5.0614,0,0.10706,0.18766,11.482,2.7135
670,0,0,2.4025,0.35916,10.368,0.0015437,2.966,0.0039285,0.14832,0.255,7.3241,2.2602
673.35,0,0,3.0003,0.5747,19.63,0.0010496,1.4766,0.022031,0.10727,0.57143,3.8774,1.6665
676.7,0,0,6.8324,1.1754,7.9421,0.00098055,0.8457,0.025835,0.34545,0.3502,2.9947,1.0411
680.05,0,0,0.44692,1.2203,7.9549,0.00097161,0.063291,0.0054082,0.76954,0.34738,2.6507,0.69008
683.4,0,0,1.2396,1.3772,15.648,0.00077033,11.046,0,0.21345,0.13762,4.7031,0.97998
686.75,0,0,0.0067253,1.5208,8.3855,0.00096524,7.7782,0,0.0015096,0.0011153,6.924,1.4702
690.1,0,0,0,1.5217,3.8602,0.00046964,0.22356,0,0,0,5.3311,1.7823
693.45,0,0,0,1.3911,0.13025,1.58E-05,0.14311,0,0,0,3.1281,2.1928
696.8,0,0,0,1.8105,0,0,0.66271,0,0,0,11.062,4.9806
700.15,0,0,0,1.3721,0,0,0.83107,0,0,0,20.828,8.3173
703.5,0.0025378,0.0046028,0,2.6564,0,0,1.2759,0,0,0,16.163,8.8287
706.85,0.089068,0.16154,0,4.2682,0,0,0.84623,0,0,0,10.842,9.2508
710.2,0.19432,0.35877,0.20482,2.1129,0,0,0.65239,0.14522,0.40947,0,9.6409,10.463
713.55,0.36953,1.3056,0.36471,2.668,0,0,0.29605,0.029694,0.083728,0,8.9741,11.798
716.9,0.68144,2.6957,0.17569,3.1656,0.032387,0,0.31676,0.42369,0.19344,0.38373,8.9065,11.982
720.25,0.61401,9.0512,0.061617,2.6005,0.11563,0.0078056,0.41242,0.89193,0.31792,0.69148,8.9411,11.943
723.6,1.7428,11.889,0.039654,3.4364,0.41506,0.02602,0.20878,2.0532,0.28954,1.701,8.9869,11.89
726.95,1.749,9.7795,0.0099749,3.1139,0.41666,0.083482,0.025401,2.3889,0.15328,2.2574,9.0225,11.849
730.3,0.64826,6.2141,0,2.5914,0.24703,0.10563,0.025061,0.84011,0.20486,1.4356,8.8669,12.112
733.65,0.50671,5.0349,0,3.829,0.19571,0.029109,0.39717,0.26807,0.29319,1.9259,7.6797,14.085
737,0.3668,5.5142,0.00069636,3.9166,0.059958,0,1.2115,1.0112,0.090154,3.2053,7.1048,15.028
740.35,0.47406,3.668,0.0051168,6.4024,0.024303,0,1.4985,1.139,0.20503,2.221,7.0434,15.164
743.7,0.35961,1.6629,0.0067667,6.8674,0.013897,0,1.5694,0.92108,0.55828,3.1674,6.9477,15.103
747.05,0.3826,2.2028,0.0023713,2.3925,0.0053179,0,0.45775,1.0904,0.010765,2.5079,6.6511,13.068
750.4,0.23258,1.1904,0,3.3862,0,0,1.2962,0.57018,0.06312,1.2704,6.193,11.727
753.75,0.10949,3.0967,0,4.5771,0,0,0.32708,2.7193,0.057295,1.8643,5.2138,11.715
757.1,0.17198,4.9195,0,3.024,0,0,0.021534,0.88911,0,1.0802,4.5827,11.692
760.45,0.2374,12.668,0,2.5446,0,0,0.0095784,0.45577,0,1.2319,6.8818,6.0558
763.8,0.2374,13.074,0,2.2157,0,0,5.01E-05,0.8258,0,1.5579,10.204,0.20763
767.15,0.4918,5.1933,0,2.6761,0,0,0,0.24602,0.086432,0.516,12.277,0.21827
770.5,0.44514,4.1915,0,1.5469,0,0,0,0.29724,0.061428,0.516,13.552,0.26869
773.85,0.44933,2.104,0,1.9338,0.057159,0.028457,0,0.40031,0.10138,0.49459,11.303,0.23673
777.2,0.58377,3.494,0,1.5735,0.082034,0.040841,0,1.5025,0.51951,0.22773,7.1966,0.16999
780.55,0.93318,0.91079,0,2.5154,0.0025892,0.001289,0,0.094406,0.032744,0.0083243,6.2375,0.13581
783.9,1.3614,2.5699,0,2.4563,0.029322,0.047102,0,0,0,0,5.8392,0.10662
787.25,1.1378,3.1758,0,2.5012,0.034248,0.12038,0.0012866,0.34376,0.94615,0.083596,5.5467,0.08386
790.6,0.19708,1.6782,0,1.9056,0.01256,0.015986,0.19151,0,0,0,5.0869,0.071314
793.95,0.12746,1.4552,0,1.6219,0.02088,0.046543,0.63443,0,0,0,3.6569,0.10533
797.3,0.073898,1.9582,0.054986,1.0854,0.053044,0.047974,0.69561,0,0,0,6.8721,3.0822
800.65,0.091464,1.6518,0.20418,0.95129,0.061835,0.041596,0.63091,0,0,0,8.1833,4.7668
804,0.11012,1.0707,0.20857,1.0477,0.12559,0.0591,0.60451,0,0,0,3.6801,3.9042
807.35,0.030633,0.82148,0.090363,0.74825,0.37874,0.16319,0.59089,0,0,0,2.7197,2.8211
810.7,0,0.74065,0.039273,0.72421,0.34271,0.20933,0.56354,0,0,0,5.5677,1.2625
814.05,0.013041,1.2774,0.033432,0.96628,0.63476,0.083245,0.53568,0,0,0,7.4694,0.42008
817.4,0.088879,1.4066,0.027258,0.91854,1.6072,0.027727,0.45556,0,0,0,5.7017,0.64178
820.75,0.10659,1.0334,0.025684,0.86,0.57648,0.013856,0.40327,0,0,0,4.5577,0.78453
824.1,0.39876,0.94182,0.026806,0.59483,0.48325,0.0059544,2.8616,0,0,0,5.5178,0.65567
827.45,0.71869,0.77073,0.0084018,0.68021,0.30825,0.0076264,4.217,0,0,0,7.3902,0.44296
830.8,0.75011,0.16451,0.0032016,0.69664,0.14724,0.0036478,0.45937,0,0,0,9.6605,0.26345
834.15,1.8628,0.10203,0,0.88149,0.056345,0.004094,0.28447,0,0,0,12.022,0.22721
837.5,1.2023,0.025344,0,0.48461,0.14736,0.92078,0.27477,0,0,0,15.371,0.29085
840.85,1.1334,0.021458,0,0.73449,0.030003,0.091076,0.27044,0,0,0,16.57,0.3182
844.2,1.2964,0.016069,0,0.45566,0.061458,0.099307,0.89081,0,0,0,15.789,0.28328
847.55,1.7293,0.032892,0,0.79553,0.025823,2.35E-05,1.229,0,0,0,14.487,0.225
850.9,0.7476,0.026031,0,0.74526,0.015959,0.00060032,1.7963,0,0,0,13.286,0.17131
854.25,1.3464,0.015001,0,0.78175,0.031098,0.0010044,2.0438,0,0,0,12.874,0.15008
857.6,0.7389,0.0042666,0,0.88741,0.031066,0.0019221,0.36018,0,0,0,21.763,0.16637
860.95,0.56293,0.0018972,0,0.66618,0.032182,0.0077774,0.77422,0,0,0,29.977,0.20917
864.3,0.85364,0,0,0.71465,0.43532,0.006419,0.2959,0,0,0,19.143,1.0345
867.65,0.42922,0,0,0.77166,0.089123,0.001369,0.23237,0,0,0,6.0264,1.9674
871,0.44335,0,0.00062455,0.93754,0.031925,0.00065603,0.079365,0,0,0,5.0651,1.7908
874.35,0.39796,0,0.0027613,0.94939,0.0073625,0.00025564,0.10947,0,0,0,4.7197,1.4632
877.7,0.26007,0.00060596,0.0035941,1.5423,0.015777,0.00021217,0.1029,0,0,0,4.7586,1.3546
881.05,0.16635,0.0051504,0.0014718,1.2779,0.010152,7.55E-05,0.038117,0,0,0,4.9094,1.2853
884.4,0.30235,0.0032885,0.087763,1.1891,0.0038823,0.00012063,0.053686,0,0,0,5.1796,1.17
887.75,0.22284,0.0030203,0.19693,0.92932,0.0080172,0.00041704,0.078209,0,0,0,5.5943,1.0339
891.1,0.21725,0.0026263,0.18287,0.63276,0.021136,0.0012344,0.11962,0,0,0,5.8331,0.95717
894.45,0.36044,0.0036002,0.12861,0.86303,0.052165,0.0019451,0.12771,0,0,0,5.9937,0.90702
897.8,0.55625,0.006488,0.33069,0.86151,0.06189,0.0019898,0.11651,0,0,0,6.4011,1.0466
901.15,0.42628,0.0087551,0.27987,0.80839,0.061734,0.00083806,0.08251,0,0,0,7.3321,1.7567
904.5,0.41582,0.0030225,0.16571,1.466,0.06096,0.052552,0.044665,0,0,0,7.9755,2.2974
907.85,0.70219,0.00408,0.079639,1.2414,0.091655,0.0043828,0.022616,0,0,0,4.775,1.3937
911.2,0.52027,0.021373,0.00036205,1.5763,0.045707,0.013217,0.0034147,0,0,0,2.8551,0.76888
914.55,0.56402,0.063056,0,1.6574,0.061262,0.015331,0.0099337,0,0,0,4.3723,0.75542
917.9,0.66927,0.12096,0,2.1108,0.079678,0.0075906,0.12027,0,0,0,4.8956,0.71504
921.25,0.85743,0.097888,0,1.2631,0.1355,0.0018544,0.76246,0,0,0,2.9431,0.47271
924.6,0.85076,0.047797,0,0.95429,0.22357,0.0018631,0.30808,0,0,0,1.8484,0.33839
927.95,1.104,0.025096,3.60E-05,0.8339,0.0015453,0.000682,0.66915,0,0,0,1.8419,0.33195
931.3,0.35973,0.00186,0.0004189,7.32E-01,0.0019375,8.22E-06,0.39826,0,0,0,1.857,0.33263
934.65,0.70617,0.001818,0.0026414,0.59698,0.0020668,3.01E-05,0.18166,0,0,0,3.6144,0.59937
938,1.0881,0.00093,0.025635,0.5,0.0039001,1.54E-05,1.4857,0,0,0,5.63,0.88
941.35,0.70946,0,0.011466,0.7737,0.01305,9.18E-06,0.48436,0,0,0,6.4583,0.9521
944.7,0.39443,0,0.00012874,0.97788,0.48082,0.00090503,0.25502,0,0,0,6.9689,0.99341
948.05,0.6577,2.32E-05,0,1.2558,0.55068,0.0072969,1.1346,0,0,0,6.6106,1.0039
951.4,1.5008,0.007298,0,1.686,1.9262,0.029718,1.0816,0,0,0,5.51,1.0084
954.75,2.1155,0.0093604,0,2.4954,1.165,0.0049284,0.24786,0,0,0,5.3756,1.0445
958.1,1.9051,0.010611,0,1.9065,3.6065,0.054362,0.041527,0,0,0,5.3321,1.1149
961.45,6.0463,0.017066,0,1.2118,2.4847,0.031941,0.00093965,0,0,0,6.2231,1.1617
964.8,3.8175,0.034204,0,1.2861,0.17357,0.0090755,0,0,0,0,8.6402,1.2005
968.15,4.3622,0.028121,0,1.1607,0.013162,0.019973,0,0,0,0,9.5988,1.2458
971.5,3.5258,0.017518,0,1.4965,0.0055689,0.0076789,0,0,0,0,9.7694,1.2986
974.85,3.2707,0.0052813,0,2.1995,0.0035991,0.0013274,0,0,0,0,9.7572,1.712
978.2,4.0071,0.0003835,0,1.4468,0.0019419,0.005363,0,0,0,0,9.6312,2.9894
981.55,4.0543,0,0,1.1955,0.017288,0.010758,0,0,0,0,9.7132,3.2273
984.9,3.349,0,0,1.1939,0.031112,0.037869,0,0,0,0,10.671,2.8453
988.25,2.6122,0,0,1.5368,0.030971,0.15992,0,0,0,0,14.949,3.7262
991.6,2.8324,0,0,1.7487,0.018968,0.25177,0,0,0,0,35.864,11.412
994.95,3.0405,0,0,1.6411,0.031586,0.63956,0,0,0,0,43.44,14.328
998.3,3.1485,0,0,1.4534,0.12391,0.93139,0,0,0,0,28.649,9.6804
1001.7,2.8813,0,0,0.87498,0.12433,1.1769,0,0,0,0,10.947,4.5936
1005,2.2522,0.00028545,0,1.6067,0.15612,1.8417,0.00014669,0,0,0,5.3301,4.0906
1008.4,2.7641,0.0031667,0.00026472,0.94796,0.24907,1.0489,0.0032223,0,0,0,3.6386,4.5574
1011.7,3.8153,0.0055316,0.0091366,0.85421,0.18989,2.1924,0.027089,0.010581,0,0.00097388,4.263,5.9928
1015.1,8.9529,0.004622,0.014984,1.0821,0.015522,0.96075,0.045679,0.13006,0,0.011961,5.5767,7.0373
1018.4,9.0494,0.003791,0.0071516,0.8287,0.03053,0.055624,0.038217,0.040289,0.00088219,0,9.3543,4.9499
1021.8,9.0243,0.0092924,0.0010316,1.0806,0.0043096,0.032505,0.0050089,0.35345,0.047041,0,11.415,2.8309
1025.1,9.1892,0.043975,0.0016857,1.1208,0.0016064,0.00075823,0.0047862,0.091626,0.10209,0.011978,10.754,1.9569
1028.5,3.8134,0.078016,0.0022418,1.0292,0.0076993,0.16867,0.01095,0.0019976,0.19961,0.00051563,9.8925,1.5307
1031.8,2.3109,0.069857,0.002921,0.98825,0.0049629,0.39659,0.050076,0.054255,0.13606,0,9.1688,1.389
1035.2,1.6827,0.028377,0.04719,0.9532,0.023256,0.15341,0.15243,0.31958,0.25288,0,8.4041,1.3061
1038.5,1.2058,0.00186,0.090634,0.68666,0.061138,0.12137,0.036556,0.58925,0,0.0015167,7.6525,1.2458
1041.8,0.64235,0.00186,0.019701,0.75249,0.027667,0.060378,0.11798,0.25903,0,0.048776,6.9007,1.1652
1045.2,0.46556,0.0028939,0.0030992,0.8643,0.018784,0.052155,0.48731,0.12748,0.00015209,0.06716,6.1349,1.0172
1048.6,0.40223,0.0062347,0.00051621,1.0152,0.017402,0.059756,1.3278,0.074441,0.0011489,0.074372,5.3345,0.54546
1051.9,0.33568,0.00744,0,1.0373,0.012823,0.0571,1.1459,0.073295,0.0076216,0.075149,4.7561,0.46877
1055.3,0.13402,0.0028893,0,0.90921,0.0034126,0.17087,0.13985,0.034182,0.0075254,0.17754,4.356,0.55259
1058.6,0.1931,0,0,0.94818,0.0083305,0.16595,0.061843,0.023274,0.0052505,0.33523,4.7383,0.62987
1062,0.53148,0.00013778,0.0035778,1.0469,0.019773,0.015555,0.060254,0.064255,0.012077,0.37652,6.1185,0.71789
1065.3,0.59379,0.0014967,0.038865,0.79885,0.010326,0.017865,0.10576,0.042556,0.01795,0.283,7.8135,0.83779
1068.7,0.65291,0.0014967,0.038865,0.64701,0.0087611,0.021043,0.23766,0.02239,0.016802,0.26234,9.8278,1.1468
1072,0.7201,0.00013778,0.0035778,0.57798,0.012355,0.027021,0.49885,0.0068857,0.0065349,0.27856,11.63,1.111
1075.3,1.1931,0.0052646,0,0.85765,0.00078133,0.17418,0.011779,0.019393,0.0080862,0.063395,13.101,0.75156
1078.7,1.4543,0.0042525,0,0.86925,0.020602,0.29816,0.1284,0.035428,0.012045,0.099,13.334,0.69076
1082.1,1.5923,0.013655,0,0.85904,0.061366,0.50524,0.28478,0,0.001509,0.098967,13.139,0.78466
1085.4,1.9035,0.10043,0,0.9282,0.0016925,1.0056,0,0,0.027629,0.073662,12.222,0.78322
1088.8,1.914,0.37709,0,1.5145,0.00078329,1.0761,0.0047216,0.00021056,0,0.014497,7.7919,0.59616
1092.1,1.2882,0.7387,0,1.3115,0.00050312,1.0195,0.062933,0.0028065,0,0.0007653,5.1118,0.4801
1095.5,0.63152,0.74273,0,1.6988,0.3499,0.058876,0,0,0,0.0044842,6.47,0.5743
1098.8,0.85494,1.8272,0,1.0103,0.010463,0.0066224,0,0,0,0.018427,7.2447,0.73156
1102.2,0.24293,0.49168,0,1.1216,0.0062629,0.0026905,0.001102,0,0.0014087,0.080722,6.4476,0.97819
1105.5,0.09763,0.23453,0,2.2191,0.0019426,7.56E-05,4.77E-05,0,6.10E-05,0.089819,5.8452,1.0785
1108.8,0.044828,0.020087,0.347,1.6806,0.0066955,0.00090756,0.0091329,0.19263,0,0.0011467,5.6546,0.64434
1112.2,0.1322,0.10246,0.59614,2.1264,0.0088389,0.0016794,0.003857,0.020292,0.0012714,0.017741,5.58,0.3013
1115.6,0.45676,0.085367,0.02969,1.7518,0.015188,0.0043501,7.41E-05,0.13957,6.90E-05,0.00096213,5.58,0.58157
1118.9,0.26484,0.086497,0,1.7477,0.0073012,0.013794,0.0030747,0.027181,0.012515,0.065015,5.58,0.83967
1122.3,0.37262,0.06379,0,2.4343,0.0073812,0.0052998,0.00052053,0,0.017264,0.013851,7.2209,0.63884
1125.6,0.96514,0.09126,0.030023,3.3649,0.0077701,0.079945,0.0035606,0.03918,0.013507,0.019892,9.5324,0.40415
1129,0.71698,0.037988,0.010837,2.9588,0.013445,0.052743,0.0019571,0.014142,0.0020638,0.0083259,10.235,0.54054
1132.3,0.61605,0.034648,0.017249,2.329,0.0083607,0.008708,0.00013973,0,0.00051992,0.17418,10.768,0.86932
1135.7,0.32801,0.02088,0.020916,1.7439,0.0043203,0.02076,0.00070925,0,0.0041201,0.19559,12.829,1.2186
1139,0.12983,0.041314,0.0046159,2.087,0.04284,0.25176,0.00059163,0,0.012399,0.080983,15.501,1.6873
1142.3,0.33126,0.13809,0,2.1427,0.047792,0.37307,0,0,0.02293,0.054095,15.552,2.9073
1145.7,0.95034,0.17746,0,1.179,0.0013451,0.14427,0.00034808,0.00072232,0.040153,0.036873,14.761,4.8398
1149.1,1.1434,0.17409,0,0.99757,0.0027607,0.040447,0.0071157,0.0012932,0.084516,0.044284,12.111,4.7962
1152.4,1.0002,0.12044,0.016961,0.98256,0.00070598,0.024449,0.068788,0.0087906,0.096999,0.078667,6.7079,3.9107
1155.8,0.96557,0.06095,0.04964,1.0608,0.0054118,0.016342,0.14114,0.031043,0.036128,0.041644,5.8587,3.8993
